exp_id,num_assets,num_portfolios,risk_aversion,ansatz_reps,quantum_return,quantum_risk,quantum_sharpe,classical_return,classical_risk,classical_sharpe,vqe_runtime_sec,depth,parameters
n8_p100_r2_a5,8,100,0.5,2,0.4730988160291439,1.9794580805500441,0.23395232290064955,0.5430758598870542,1.385890729383465,0.3846449424798456,1.071,9,0
n8_p100_r2_a8,8,100,0.8,2,0.4928211888782359,2.0837720322356463,0.23170537919170775,0.5430758598870542,1.385890729383465,0.3846449424798456,1.211,9,0
n8_p100_r3_a3,8,100,0.3,3,0.46211091626479617,1.899670503203948,0.2379943866593046,0.5430758598870542,1.385890729383465,0.3846449424798456,1.081,9,0
n8_p100_r3_a5,8,100,0.5,3,0.4530947255113025,1.8722469732900506,0.23666467716738443,0.5430758598870542,1.385890729383465,0.3846449424798456,1.325,9,0
n8_p100_r3_a8,8,100,0.8,3,0.48097144846796663,2.0175170335842445,0.2334411262101002,0.5430758598870542,1.385890729383465,0.3846449424798456,1.178,9,0
n8_p150_r2_a3,8,150,0.3,2,0.4897303397481587,2.0639450817242633,0.23243367471162646,0.8196770021441862,2.4521772513195317,0.3301869804511456,0.967,9,0
n8_p150_r2_a5,8,150,0.5,2,0.47304268431864877,1.9664542239164748,0.23547086867673583,0.8196770021441862,2.4521772513195317,0.3301869804511456,0.988,9,0
n8_p150_r2_a8,8,150,0.8,2,0.4734524351388257,1.9727467756931039,0.2349274832680928,0.8196770021441862,2.4521772513195317,0.3301869804511456,1.134,9,0
n8_p150_r3_a3,8,150,0.3,3,0.49244673210438117,2.0812856368845902,0.2318022685375085,0.8196770021441862,2.4521772513195317,0.3301869804511456,1.086,9,0
n8_p150_r3_a5,8,150,0.5,3,0.4802891314444961,2.014050811552909,0.23350410463670748,0.8196770021441862,2.4521772513195317,0.3301869804511456,1.139,9,0
n8_p150_r3_a8,8,150,0.8,3,0.4934431137724551,2.082785561749644,0.23211372435592395,0.8196770021441862,2.4521772513195317,0.3301869804511456,1.1,9,0
n8_p200_r2_a3,8,200,0.3,2,0.49537460852806553,2.0948243703523866,0.23170181490986613,0.8196770021441862,2.4521772513195317,0.3301869804511456,1.121,9,0
n8_p200_r2_a5,8,200,0.5,2,0.4829550772110436,2.030568944009389,0.232917517332451,0.8196770021441862,2.4521772513195317,0.3301869804511456,1.132,9,0
n8_p200_r2_a8,8,200,0.8,2,0.4973495875788453,2.1090459138129045,0.23107585491004087,0.8196770021441862,2.4521772513195317,0.3301869804511456,1.154,9,0
n8_p200_r3_a3,8,200,0.3,3,0.48995828367103705,2.0708297540053295,0.23177100036481407,0.8196770021441862,2.4521772513195317,0.3301869804511456,1.016,9,0
n8_p200_r3_a5,8,200,0.5,3,0.4913509649749821,2.0718666965802175,0.23232718869871818,0.8196770021441862,2.4521772513195317,0.3301869804511456,1.241,9,0
n8_p200_r3_a8,8,200,0.8,3,0.45286699719767187,1.8731610183382608,0.2364276177338737,0.8196770021441862,2.4521772513195317,0.3301869804511456,1.131,9,0
n12_p50_r2_a3,12,50,0.3,2,0.4786390942698706,2.009204343521532,0.23324610848117466,0.3054515152856295,0.6495951775825618,0.4548240588625343,2.528,13,0
n12_p50_r2_a5,12,50,0.5,2,0.470556684733514,1.9638174350992073,0.2345211303769934,0.3054515152856295,0.6495951775825618,0.4548240588625343,2.565,13,0
n12_p50_r2_a8,12,50,0.8,2,0.49189770554493306,2.0788098179652392,0.23181423398154793,0.3054515152856295,0.6495951775825618,0.4548240588625343,2.543,13,0
n12_p50_r3_a3,12,50,0.3,3,0.48977759276879157,2.0674116796983273,0.23206679031570518,0.3054515152856295,0.6495951775825618,0.4548240588625343,2.533,13,0
n12_p50_r3_a5,12,50,0.5,3,0.47877369394359687,2.0086255959503507,0.23338032477964302,0.3054515152856295,0.6495951775825618,0.4548240588625343,2.565,13,0
n12_p50_r3_a8,12,50,0.8,3,0.4667779261237205,1.932156554898449,0.2364083412214638,0.3054515152856295,0.6495951775825618,0.4548240588625343,2.598,13,0
n12_p100_r2_a3,12,100,0.3,2,0.49219909069155315,2.0802805265012014,0.2317952240328654,0.31026874813809024,0.7872172427456652,0.3814306036930918,2.516,13,0
n12_p100_r2_a5,12,100,0.5,2,0.46074807480748076,1.9133179919663066,0.23558450644382922,0.31026874813809024,0.7872172427456652,0.3814306036930918,2.599,13,0
n12_p100_r2_a8,12,100,0.8,2,0.46514225383418545,1.9299961766867137,0.23582546915483674,0.31026874813809024,0.7872172427456652,0.3814306036930918,2.584,13,0
n12_p100_r3_a3,12,100,0.3,3,0.4609505494505495,1.9107059222250344,0.23601253557921328,0.31026874813809024,0.7872172427456652,0.3814306036930918,2.566,13,0
n12_p100_r3_a5,12,100,0.5,3,0.48232034531031276,2.027855560583097,0.23291616744858298,0.31026874813809024,0.7872172427456652,0.3814306036930918,2.546,13,0
n12_p100_r3_a8,12,100,0.8,3,0.30715079659133016,1.083310090196242,0.2742989281466964,0.31026874813809024,0.7872172427456652,0.3814306036930918,2.582,13,0
n12_p150_r2_a3,12,150,0.3,2,0.4854768616396523,2.0421822498664475,0.23282782996999757,0.3227928533519611,0.561321395762785,0.5572437746238124,2.589,13,0
n12_p150_r2_a5,12,150,0.5,2,0.4829306722689076,2.03029776111126,0.23293660729353044,0.3227928533519611,0.561321395762785,0.5572437746238124,2.633,13,0
n12_p150_r2_a8,12,150,0.8,2,0.4499036815068493,1.8599252452508965,0.23651686143305614,0.3227928533519611,0.561321395762785,0.5572437746238124,2.628,13,0
n12_p150_r3_a3,12,150,0.3,3,0.450716117999145,1.8566264533261094,0.2373746841803373,0.3227928533519611,0.561321395762785,0.5572437746238124,2.706,13,0
n12_p150_r3_a5,12,150,0.5,3,0.48208798882681564,2.023139684184154,0.23334423842177196,0.3227928533519611,0.561321395762785,0.5572437746238124,2.646,13,0
n12_p150_r3_a8,12,150,0.8,3,0.48819214387127313,2.058153142906383,0.23234040941968143,0.3227928533519611,0.561321395762785,0.5572437746238124,2.646,13,0
n12_p200_r2_a3,12,200,0.3,2,0.4637394864984507,1.9228691802392737,0.2359700239420288,0.34918880278344283,0.7313028604635808,0.4638144073010016,2.67,13,0
n12_p200_r2_a5,12,200,0.5,2,0.4730760525124491,1.9687296940284706,0.23521565907043832,0.34918880278344283,0.7313028604635808,0.4638144073010016,2.651,13,0
n12_p200_r2_a8,12,200,0.8,2,0.4792524878500347,2.0115108008507026,0.23328360337492582,0.34918880278344283,0.7313028604635808,0.4638144073010016,2.634,13,0
n12_p200_r3_a3,12,200,0.3,3,0.47772065619223664,2.005290842941893,0.23324330125901324,0.34918880278344283,0.7313028604635808,0.4638144073010016,2.622,13,0
n12_p200_r3_a5,12,200,0.5,3,0.48999881150463515,2.0664366103443146,0.23228334665666642,0.34918880278344283,0.7313028604635808,0.4638144073010016,2.591,13,0
n12_p200_r3_a8,12,200,0.8,3,0.4665696372592924,1.9385930929475341,0.23551597234110694,0.34918880278344283,0.7313028604635808,0.4638144073010016,2.652,13,0
n16_p50_r2_a3,16,50,0.3,2,0.48170844939647167,2.018008804626206,0.23374945060452587,0.29728489052059504,0.7628505431207078,0.37659393849987366,3.504,17,0
n16_p50_r2_a5,16,50,0.5,2,0.4642439293598234,1.9186591344924646,0.23675071887116766,0.29728489052059504,0.7628505431207078,0.37659393849987366,3.483,17,0
n16_p50_r2_a8,16,50,0.8,2,0.4364253624668164,1.771416885869375,0.24072558293218232,0.29728489052059504,0.7628505431207078,0.37659393849987366,3.488,17,0
n16_p50_r3_a3,16,50,0.3,3,0.47952606088560884,2.004474290731009,0.23423900374116446,0.29728489052059504,0.7628505431207078,0.37659393849987366,3.576,17,0
n16_p50_r3_a5,16,50,0.5,3,0.49035212943135853,2.0694122076950054,0.2321200810767392,0.29728489052059504,0.7628505431207078,0.37659393849987366,3.601,17,0
